name,gender,age,birth_year,generation,years_of_education,employment_status
Ronny,Female,19,2005,Gen Z,17,Employed
Darda,Female,39,1985,Gen Z,8,Employed
Tiphany,Female,65,1959,Millennial,3,Unemployed
Elia,Male,62,1962,Millennial,19,Employed
Kayley,Female,24,2000,Gen Z,9,Student
Gabriel,Male,30,1994,Gen Z,18,Retired
Cicely,Female,18,2006,Gen Z,16,Unemployed
Isidora,Female,25,1999,Baby Boomer,9,Retired
Renee,Female,34,1990,Gen Z,10,Employed
Nannie,Female,70,1954,Gen X,7,Unemployed
Jessie,Male,21,2003,Gen Z,15,Student
Guendolen,Female,16,2008,Millennial,15,Unemployed
Ronny,Male,48,1976,Baby Boomer,8,Retired
Larine,Female,59,1965,Gen X,10,Unemployed
Baxie,Male,34,1990,Gen Z,13,Unemployed
Druci,Female,41,1983,Baby Boomer,13,Unemployed
Dennis,Bigender,22,2002,Gen X,3,Student
Beverlee,Female,43,1981,Gen Z,3,Student
Emelen,Male,53,1971,Baby Boomer,19,Unemployed
Zerk,Male,28,1996,Gen Z,16,Retired
Randall,Male,63,1961,Baby Boomer,5,Student
Susana,Female,59,1965,Baby Boomer,9,Student
Regina,Female,23,2001,Millennial,2,Retired
Celestia,Female,26,1998,Millennial,10,Retired
Sabine,Female,24,2000,Baby Boomer,5,Employed
Nanni,Female,61,1963,Gen Z,12,Retired
Angie,Male,54,1970,Gen Z,1,Employed
Chan,Male,61,1963,Gen Z,2,Student
Lawry,Male,49,1975,Gen Z,14,Retired
Layla,Female,69,1955,Millennial,13,Student
Emmalee,Genderqueer,41,1983,Gen Z,18,Unemployed
Norbert,Male,48,1976,Gen Z,20,Unemployed
Eric,Male,54,1970,Baby Boomer,14,Retired
Errick,Non-binary,40,1984,Gen Z,8,Employed
Judye,Female,67,1957,Gen Z,19,Unemployed
Francisco,Male,50,1974,Baby Boomer,10,Retired
Albie,Male,35,1989,Gen X,0,Employed
Haleigh,Male,51,1973,Baby Boomer,18,Retired
Frannie,Female,61,1963,Millennial,15,Student
Erie,Male,25,1999,Gen X,10,Student
Pall,Male,50,1974,Baby Boomer,10,Student
Charline,Female,18,2006,Baby Boomer,1,Retired
Nelson,Male,34,1990,Millennial,7,Employed
Yardley,Male,42,1982,Gen X,15,Student
Coop,Male,33,1991,Gen Z,14,Unemployed
Joellyn,Female,45,1979,Gen X,2,Student
Isa,Female,25,1999,Gen Z,5,Employed
Zebadiah,Male,25,1999,Gen Z,3,Retired
Tabina,Bigender,68,1956,Baby Boomer,16,Student
Kyrstin,Female,56,1968,Millennial,5,Unemployed
Hedvige,Female,68,1956,Gen Z,8,Student
Giulia,Female,32,1992,Gen Z,11,Student
Emeline,Female,36,1988,Baby Boomer,15,Student
Putnem,Male,16,2008,Gen X,1,Unemployed
Bastian,Male,46,1978,Gen Z,8,Unemployed
Bab,Female,24,2000,Millennial,6,Employed
Maye,Agender,57,1967,Baby Boomer,14,Retired
Llywellyn,Male,37,1987,Gen Z,18,Unemployed
Saundra,Female,69,1955,Gen X,9,Retired
Merridie,Non-binary,68,1956,Gen X,0,Unemployed
Raye,Bigender,59,1965,Gen Z,11,Unemployed
Marv,Male,55,1969,Gen Z,19,Student
Salomi,Genderfluid,40,1984,Millennial,18,Unemployed
Bren,Male,47,1977,Baby Boomer,7,Student
Hildagard,Female,22,2002,Gen Z,9,Employed
Bobinette,Female,46,1978,Baby Boomer,9,Unemployed
Clyde,Male,53,1971,Baby Boomer,1,Student
Robert,Male,62,1962,Gen X,3,Student
Haley,Female,34,1990,Gen Z,10,Employed
Zebulen,Male,49,1975,Gen X,14,Retired
Roscoe,Male,53,1971,Millennial,12,Student
Ysabel,Bigender,33,1991,Gen X,6,Employed
Cati,Female,17,2007,Millennial,11,Unemployed
Frayda,Female,49,1975,Baby Boomer,1,Employed
Rod,Male,70,1954,Millennial,20,Unemployed
Buddy,Non-binary,61,1963,Gen Z,15,Employed
Charlotta,Female,62,1962,Baby Boomer,2,Retired
Hadley,Male,51,1973,Baby Boomer,6,Employed
Haskell,Male,53,1971,Baby Boomer,1,Retired
Xerxes,Male,44,1980,Gen Z,11,Unemployed
Port,Male,43,1981,Millennial,14,Retired
Reynard,Male,51,1973,Millennial,6,Retired
Pat,Agender,21,2003,Gen X,15,Retired
Killie,Non-binary,49,1975,Millennial,8,Employed
Marylee,Female,53,1971,Gen Z,18,Student
Geno,Male,23,2001,Gen Z,11,Retired
Sawyere,Male,48,1976,Gen Z,20,Student
Marybelle,Female,25,1999,Baby Boomer,5,Unemployed
Glendon,Male,67,1957,Gen Z,8,Employed
Sarge,Male,28,1996,Millennial,4,Retired
Levey,Male,19,2005,Gen Z,16,Student
Charil,Female,24,2000,Millennial,6,Employed
Latrina,Female,62,1962,Millennial,17,Unemployed
Giacobo,Male,57,1967,Gen Z,1,Unemployed
Gardiner,Male,54,1970,Millennial,18,Student
Madalena,Female,21,2003,Baby Boomer,4,Unemployed
Eduino,Male,22,2002,Gen X,19,Unemployed
Harp,Male,50,1974,Gen X,15,Student
Xever,Male,39,1985,Gen X,17,Employed
Leann,Female,39,1985,Baby Boomer,16,Student
Rube,Male,60,1964,Millennial,7,Retired
Edie,Female,20,2004,Millennial,11,Retired
Rooney,Male,23,2001,Millennial,14,Retired
Kimmi,Genderqueer,51,1973,Gen X,15,Retired
Issy,Female,45,1979,Gen Z,10,Retired
Zechariah,Male,30,1994,Millennial,18,Employed
Donal,Male,36,1988,Gen X,2,Unemployed
Cosme,Male,17,2007,Gen Z,2,Student
Ambrosi,Male,66,1958,Baby Boomer,11,Retired
Ines,Female,21,2003,Millennial,0,Unemployed
Sheila,Female,67,1957,Gen X,3,Student
Vannie,Female,29,1995,Gen X,17,Student
Andre,Male,40,1984,Millennial,1,Unemployed
Christie,Male,34,1990,Gen X,20,Retired
Cele,Female,35,1989,Gen Z,6,Employed
Robbie,Female,63,1961,Millennial,19,Retired
Auberon,Male,67,1957,Baby Boomer,5,Employed
Chiarra,Female,26,1998,Baby Boomer,13,Retired
Rad,Male,34,1990,Millennial,10,Student
Vasili,Male,20,2004,Millennial,0,Retired
Korney,Genderfluid,58,1966,Gen X,18,Employed
Elna,Female,45,1979,Baby Boomer,10,Student
Ellie,Female,20,2004,Gen X,16,Employed
El,Male,34,1990,Gen X,12,Retired
Paul,Male,36,1988,Baby Boomer,1,Retired
Sibby,Polygender,18,2006,Gen X,13,Retired
Jase,Male,27,1997,Gen X,0,Unemployed
Falito,Male,39,1985,Millennial,0,Student
Papageno,Male,30,1994,Millennial,9,Retired
Lothaire,Male,56,1968,Gen X,14,Unemployed
Sim,Male,70,1954,Gen Z,15,Unemployed
Romain,Male,66,1958,Millennial,5,Student
Bear,Male,49,1975,Millennial,18,Unemployed
Drona,Female,37,1987,Gen Z,12,Unemployed
Ximenez,Male,62,1962,Gen Z,6,Unemployed
Lyndsay,Female,19,2005,Baby Boomer,19,Student
Stanleigh,Male,27,1997,Baby Boomer,6,Employed
Francine,Female,66,1958,Baby Boomer,2,Student
Bertrand,Polygender,68,1956,Gen Z,7,Unemployed
Rasia,Female,18,2006,Gen X,0,Student
Jasmina,Female,48,1976,Gen X,11,Student
Saxe,Male,53,1971,Baby Boomer,18,Unemployed
Ruthe,Female,23,2001,Baby Boomer,13,Student
Roderich,Male,30,1994,Millennial,7,Student
Binnie,Female,55,1969,Baby Boomer,3,Unemployed
Adan,Male,18,2006,Gen X,17,Employed
Cynthea,Female,46,1978,Gen X,2,Retired
Taryn,Female,39,1985,Gen Z,8,Employed
Nola,Female,49,1975,Baby Boomer,11,Unemployed
Farrand,Female,69,1955,Gen X,20,Employed
Sheilakathryn,Non-binary,16,2008,Millennial,13,Unemployed
Adolphe,Male,54,1970,Gen Z,11,Unemployed
Benny,Male,51,1973,Gen X,11,Unemployed
Emmeline,Female,66,1958,Gen X,17,Employed
Beatrice,Female,27,1997,Gen Z,14,Unemployed
Jocelyn,Female,67,1957,Baby Boomer,14,Unemployed
Xylina,Female,40,1984,Gen X,3,Unemployed
Colas,Male,19,2005,Millennial,18,Retired
Cate,Female,42,1982,Millennial,7,Unemployed
Sharleen,Female,64,1960,Baby Boomer,8,Unemployed
Fanya,Female,35,1989,Gen X,10,Employed
Damian,Male,18,2006,Gen X,2,Employed
Launce,Male,57,1967,Gen Z,19,Unemployed
Leonardo,Male,70,1954,Gen X,2,Student
Don,Male,65,1959,Baby Boomer,14,Retired
Celisse,Female,63,1961,Millennial,11,Employed
Betsey,Female,49,1975,Baby Boomer,5,Retired
Hammad,Male,56,1968,Gen X,20,Student
Rocky,Male,20,2004,Baby Boomer,0,Unemployed
Arabel,Female,57,1967,Gen Z,9,Retired
Kaylee,Female,54,1970,Gen X,0,Retired
Lothaire,Male,47,1977,Baby Boomer,13,Student
Delcine,Bigender,42,1982,Gen X,14,Employed
Lorenza,Bigender,57,1967,Baby Boomer,9,Student
Bree,Female,69,1955,Gen X,0,Unemployed
Dieter,Male,41,1983,Gen Z,2,Retired
Honor,Genderqueer,26,1998,Baby Boomer,11,Retired
Ulick,Male,40,1984,Gen Z,18,Employed
Isa,Non-binary,48,1976,Gen X,15,Retired
Rozele,Female,24,2000,Baby Boomer,0,Employed
Keslie,Female,27,1997,Gen Z,10,Unemployed
Fanechka,Female,45,1979,Baby Boomer,2,Retired
Neal,Male,45,1979,Gen X,3,Employed
Chev,Male,68,1956,Gen X,20,Student
Fae,Bigender,53,1971,Gen Z,19,Employed
Emilio,Male,29,1995,Gen Z,16,Employed
Benedetto,Male,62,1962,Gen Z,6,Retired
Chiquia,Genderqueer,61,1963,Gen X,4,Employed
Legra,Genderqueer,55,1969,Gen Z,6,Unemployed
Gilberto,Male,42,1982,Gen X,7,Retired
Oriana,Non-binary,67,1957,Gen X,20,Student
Hewitt,Male,63,1961,Gen Z,14,Student
Archambault,Male,46,1978,Baby Boomer,15,Retired
Delcine,Female,44,1980,Baby Boomer,3,Student
Dennie,Female,27,1997,Gen Z,13,Student
Palmer,Male,35,1989,Baby Boomer,4,Student
Ardelle,Female,48,1976,Gen X,4,Student
Marylou,Female,25,1999,Baby Boomer,12,Unemployed
Merrill,Male,63,1961,Gen Z,7,Unemployed
Friederike,Female,20,2004,Millennial,14,Employed
Griff,Male,52,1972,Gen Z,0,Employed
Georgeta,Female,53,1971,Gen X,1,Retired
Edlin,Male,62,1962,Baby Boomer,11,Retired
Catarina,Non-binary,39,1985,Millennial,7,Retired
Loria,Female,46,1978,Gen X,17,Employed
Tamarra,Female,30,1994,Gen X,4,Unemployed
Kim,Male,18,2006,Baby Boomer,10,Unemployed
Holmes,Male,43,1981,Baby Boomer,17,Student
Austen,Male,64,1960,Gen X,9,Unemployed
Francklin,Male,47,1977,Gen X,17,Retired
Iorgos,Male,41,1983,Baby Boomer,15,Retired
Nappie,Male,33,1991,Gen X,19,Student
Andrey,Male,46,1978,Gen X,18,Retired
Demeter,Female,37,1987,Baby Boomer,12,Employed
